"sex","geo","time","LEnew","unit","age","values","diffLE"
"F","DK",2007,56.449434401484,"YR","Y25",56.1,0.349434401484011
"F","DK",2008,56.5931552153395,"YR","Y25",56.5,0.0931552153394506
"F","DK",2009,56.8849660165485,"YR","Y25",56.6,0.284966016548466
"F","DK",2010,57.2825256975037,"YR","Y25",56.9,0.382525697503674
"F","DK",2011,57.7380144160778,"YR","Y25",57.4,0.338014416077833
"F","DK",2012,57.9044923849022,"YR","Y25",57.6,0.30449238490224
"F","DK",2013,58.1333609987205,"YR","Y25",57.8,0.333360998720472
"F","DK",2014,58.5202796741532,"YR","Y25",58.2,0.320279674153227
"F","DK",2015,58.5210353638916,"YR","Y25",58.2,0.321035363891603
"F","DK",2016,58.583159674197,"YR","Y25",58.3,0.283159674197023
"F","EE",2015,57.6234573031373,"YR","Y25",57.7,-0.0765426968626741
"F","EE",2016,57.7379773770859,"YR","Y25",57.9,-0.162022622914101
"F","FI",2007,58.8873077160684,"YR","Y25",58.7,0.187307716068439
"F","FI",2008,58.9146628527159,"YR","Y25",58.7,0.214662852715946
"F","FI",2009,59.0884689582603,"YR","Y25",59,0.0884689582602647
"F","FI",2010,59.1187741398776,"YR","Y25",59,0.118774139877594
"F","FI",2011,59.4106048053024,"YR","Y25",59.3,0.110604805302401
"F","FI",2012,59.2716149773071,"YR","Y25",59.2,0.0716149773070995
"F","FI",2013,59.5618538720112,"YR","Y25",59.5,0.061853872011163
"F","FI",2014,59.600110566579,"YR","Y25",59.5,0.100110566579012
"F","FI",2015,59.8000538341907,"YR","Y25",59.8,5.3834190701707e-05
"F","FI",2016,59.767665665724,"YR","Y25",59.8,-0.0323343342759657
"F","FI",2017,59.9028966001521,"YR","Y25",59.9,0.00289660015214821
"F","NO",2007,58.8674527382576,"YR","Y25",58.4,0.467452738257649
"F","NO",2008,59.062709808678,"YR","Y25",58.6,0.462709808677964
"F","NO",2009,59.1213958810069,"YR","Y25",58.7,0.421395881006866
"F","NO",2010,59.2510166215694,"YR","Y25",58.8,0.451016621569387
"F","NO",2011,59.4322527619557,"YR","Y25",59,0.432252761955731
"F","NO",2012,59.277188876652,"YR","Y25",58.9,0.377188876651985
"F","NO",2013,59.5520613646069,"YR","Y25",59.2,0.352061364606946
"F","NO",2014,59.8786245944398,"YR","Y25",59.6,0.278624594439847
"F","NO",2015,59.8453391671321,"YR","Y25",59.5,0.345339167132124
"F","NO",2016,59.8028665028665,"YR","Y25",59.6,0.202866502866499
"F","NO",2017,59.9111383559125,"YR","Y25",59.7,0.211138355912453
"F","SE",2007,58.8792740867669,"YR","Y25",58.5,0.379274086766884
"F","SE",2008,59.0076739121982,"YR","Y25",58.7,0.307673912198155
"F","SE",2009,59.2619939143749,"YR","Y25",59,0.26199391437487
"F","SE",2010,59.3563850392072,"YR","Y25",59.1,0.256385039207203
"F","SE",2011,59.4599688278185,"YR","Y25",59.2,0.259968827818483
"F","SE",2012,59.2262234741135,"YR","Y25",59,0.226223474113503
"F","SE",2013,59.6634809765271,"YR","Y25",59.2,0.46348097652708
"F","SE",2014,59.7737062847848,"YR","Y25",59.5,0.273706284784787
"F","SE",2015,59.7109814274466,"YR","Y25",59.5,0.210981427446626
"F","SE",2016,59.7598062106,"YR","Y25",59.5,0.259806210600047
"F","SE",2017,59.6899797659893,"YR","Y25",59.5,0.189979765989264
"F","SI",2011,59.3625227963526,"YR","Y25",58.7,0.662522796352583
"F","SI",2012,59.4842225011768,"YR","Y25",58.7,0.784222501176828
"F","SI",2014,59.9644950124688,"YR","Y25",59.5,0.464495012468831
"F","SI",2015,59.7685545224007,"YR","Y25",59.2,0.568554522400675
"F","SI",2016,60.299488761569,"YR","Y25",59.7,0.599488761568963
"F","SI",2017,60.1124383110949,"YR","Y25",59.5,0.61243831109487
"F","SK",2011,56.4666963198801,"YR","Y25",55.5,0.966696319880135
"F","SK",2012,56.4614524462124,"YR","Y25",55.6,0.861452446212439
"F","SK",2013,56.834695397448,"YR","Y25",55.9,0.934695397447989
"F","SK",2014,57.0834972210346,"YR","Y25",56.3,0.783497221034636
"F","SK",2015,56.6996941578975,"YR","Y25",55.9,0.799694157897456
"F","SK",2016,57.1208698152165,"YR","Y25",56.4,0.720869815216545
"F","SK",2017,57.0582325704458,"YR","Y25",56.3,0.758232570445827
"F","TR",2010,56.8127243885126,"YR","Y25",56.1,0.712724388512562
"F","TR",2011,57.058985374172,"YR","Y25",56.5,0.558985374171968
"F","TR",2012,57.7715927100509,"YR","Y25",57.1,0.671592710050874
"F","TR",2015,58.0765327536348,"YR","Y25",57.3,0.776532753634825
"F","TR",2016,58.0536169098569,"YR","Y25",57.2,0.853616909856939
"F","TR",2017,58.2646471511782,"YR","Y25",57.4,0.864647151178211
"M","DK",2007,51.8602205961864,"YR","Y25",52,-0.13977940381357
"M","DK",2008,52.0415050734843,"YR","Y25",52.4,-0.358494926515718
"M","DK",2009,52.36360618662,"YR","Y25",52.5,-0.136393813380025
"M","DK",2010,52.6247450811432,"YR","Y25",52.8,-0.175254918856815
"M","DK",2011,53.2553077856771,"YR","Y25",53.4,-0.144692214322866
"M","DK",2012,53.5641107275713,"YR","Y25",53.7,-0.135889272428706
"M","DK",2013,53.7181350397467,"YR","Y25",53.9,-0.181864960253314
"M","DK",2014,54.1379570297776,"YR","Y25",54.3,-0.162042970222387
"M","DK",2015,54.4290139140956,"YR","Y25",54.4,0.0290139140955858
"M","DK",2016,54.6131081955639,"YR","Y25",54.6,0.0131081955639232
"M","EE",2015,47.9947809340395,"YR","Y25",48.9,-0.905219065960523
"M","EE",2016,48.1734231475811,"YR","Y25",49.1,-0.926576852418869
"M","FI",2007,51.5918243463327,"YR","Y25",51.8,-0.208175653667347
"M","FI",2008,52.0688741535782,"YR","Y25",52.3,-0.231125846421847
"M","FI",2009,52.0924981224444,"YR","Y25",52.4,-0.307501877555559
"M","FI",2010,52.3265935125326,"YR","Y25",52.6,-0.27340648746739
"M","FI",2011,52.8524595913834,"YR","Y25",53.1,-0.247540408616608
"M","FI",2012,53.1042571650811,"YR","Y25",53.3,-0.195742834918924
"M","FI",2013,53.3924948677696,"YR","Y25",53.6,-0.207505132230409
"M","FI",2014,53.6879015173204,"YR","Y25",54,-0.312098482679644
"M","FI",2015,54.0886252397172,"YR","Y25",54.3,-0.211374760282794
"M","FI",2016,53.8744938148333,"YR","Y25",54.2,-0.325506185166695
"M","FI",2017,54.3521674972854,"YR","Y25",54.5,-0.147832502714593
"M","NO",2007,54.052641723356,"YR","Y25",54,0.0526417233560039
"M","NO",2008,54.1923051348356,"YR","Y25",54.2,-0.00769486516439599
"M","NO",2009,54.3991861798542,"YR","Y25",54.5,-0.100813820145753
"M","NO",2010,54.5647491589338,"YR","Y25",54.7,-0.13525084106621
"M","NO",2011,54.7572371283539,"YR","Y25",54.8,-0.0427628716461115
"M","NO",2012,54.9974722911497,"YR","Y25",55.1,-0.102527708850289
"M","NO",2013,55.2361028073824,"YR","Y25",55.3,-0.0638971926176168
"M","NO",2014,55.6070990901776,"YR","Y25",55.7,-0.0929009098223688
"M","NO",2015,55.9260544789104,"YR","Y25",56,-0.073945521089577
"M","NO",2016,55.9606687711914,"YR","Y25",56.2,-0.239331228808609
"M","NO",2017,56.4898103028194,"YR","Y25",56.6,-0.110189697180651
"M","SE",2007,54.9995528554987,"YR","Y25",54.7,0.299552855498746
"M","SE",2008,55.101867096822,"YR","Y25",54.8,0.301867096822043
"M","SE",2009,55.3624886668517,"YR","Y25",55.1,0.262488666851702
"M","SE",2010,55.4440134846773,"YR","Y25",55.2,0.244013484677311
"M","SE",2011,55.6932133623622,"YR","Y25",55.5,0.193213362362222
"M","SE",2012,55.7552577660278,"YR","Y25",55.5,0.255257766027761
"M","SE",2013,56.1059670243392,"YR","Y25",55.8,0.305967024339182
"M","SE",2014,56.1908915529833,"YR","Y25",56,0.190891552983331
"M","SE",2015,56.1645512630015,"YR","Y25",56,0.164551263001492
"M","SE",2016,56.289898806616,"YR","Y25",56.2,0.089898806615949
"M","SE",2017,56.480834681154,"YR","Y25",56.3,0.180834681154018
"M","SI",2011,52.7223534286306,"YR","Y25",52.5,0.222353428630619
"M","SI",2012,52.9489772399885,"YR","Y25",52.6,0.348977239988471
"M","SI",2014,54.0656896551724,"YR","Y25",53.6,0.465689655172405
"M","SI",2015,53.8917777953129,"YR","Y25",53.4,0.491777795312871
"M","SI",2016,54.433045880777,"YR","Y25",53.8,0.633045880776969
"M","SI",2017,54.2103878235446,"YR","Y25",53.7,0.510387823544583
"M","SK",2011,49.186309483745,"YR","Y25",48.3,0.886309483745038
"M","SK",2012,49.3915851727671,"YR","Y25",48.6,0.791585172767064
"M","SK",2013,49.6257944736461,"YR","Y25",48.9,0.72579447364614
"M","SK",2014,49.8919460968799,"YR","Y25",49.3,0.591946096879937
"M","SK",2015,49.7378732793421,"YR","Y25",49.1,0.637873279342074
"M","SK",2016,50.5058336863615,"YR","Y25",49.7,0.805833686361481
"M","SK",2017,50.5195580701889,"YR","Y25",49.7,0.819558070188847
"M","TR",2010,51.851933903647,"YR","Y25",51.1,0.751933903647
"M","TR",2011,51.8608190964929,"YR","Y25",51.2,0.660819096492936
"M","TR",2012,52.4218929191595,"YR","Y25",51.6,0.821892919159453
"M","TR",2015,52.8843399882201,"YR","Y25",52.1,0.784339988220111
"M","TR",2016,52.8021144413992,"YR","Y25",52,0.802114441399183
"M","TR",2017,52.9900097540607,"YR","Y25",52.2,0.790009754060655
